Name,Category,Safety statement,Classification 1,Classification 2,Classification 3
raloxifene,X,This drug causes abnormalities of the developing reproductive system when administered to pregnant rabbits and may have a similar effect in human pregnancy.,Endocrine System,Agents affecting calcium and bone metabolism,
raltegravir (400mg BID) ,A,,Antimicrobials,Antiviral agents,
raltegravir (excluding 400mg BID),B3,,Antimicrobials,Antiviral agents,
raltitrexed,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
ramipril,D,"When taken during the second and third trimesters, ACE inhibitors cause a range of abnormalities including renal dysfunction and oligohydramnios. These can be associated with fetal death in utero. Although no adverse fetal effects have been linked to first trimester drug use of ACE inhibitors, the number of exposures reported is too small to determine conclusively that ACE inhibitors are safe in the first trimester.  Pregnant women who are taking ACE inhibitors should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure.  It is generally advisable not to use ACE inhibitors for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors
ramucirumab (rmc),D,"IgG antibodies are known to cross the placental barrier, and this drug may inhibit angiogenesis in the fetus. Angiogenesis has been shown to be critically important to fetal development.",Antineoplastic Agents,Monoclonal antibodies,
ranibizumab,D,Angiogenesis plays a key role in embryo-fetal development. Ranibizumab inhibits angiogenesis and may cause fetal harm when administered to pregnant women.,Ophthalmic Drugs,,
ranitidine,B1,,Alimentary System,"Hyperacidity, reflux, ulcers",
rasagiline,B3,,Central Nervous System,Antiparkinson agents,
rasburicase,B2,,Musculoskeletal System,Agents used in gout and hyperuricaemia,
ravulizumab,B2,,Blood and Haemopoietic System,,
reboxetine,B1,,Central Nervous System,Antidepressants,
recombinant respiratory syncytial virus pre-fusion F protein vaccine - adjuvanted with AS01,B2,,Vaccines,,
recombinant respiratory syncytial virus pre-fusion F protein vaccine - non-adjuvanted vaccine  ,A,,Vaccines,,
regdanvimab,B2,,Antimicrobials,Antiviral agents,antiviral monoclonal antibodies
regorafenib,D,Angiogenesis plays a key role in embryofetal development. VEGF receptor inhibitors inhibit angiogenesis and can cause fetal harm when administered to pregnant women,Antineoplastic Agents,Tyrosine kinase inhibitors,
relabotulinumtoxinA,B3,,Musculoskeletal System,Muscle relaxants,
remdesivir,B2,,Antimicrobials,Antiviral agents,
remifentanil,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics
repaglinide,C,It is important to achieve strict normoglycaemia during pregnancy.,Endocrine System,Hypoglycaemic agents,
reteplase,C,,Cardiovascular System,Fibrinolytic agents,
retigabine,B3,"Compared to conventional anticonvulsants, the extent of the risk of this drug is unknown.",Central Nervous System,Anticonvulsants/antiepileptics,
ribavirin,X,"Although there are no pertinent human data, ribavirin has been found to be teratogenic and/or embryolethal in nearly all species in which it has been tested. Malformations of skull, palate, eye, jaw, skeleton and gastrointestinal tract were noted in animal studies. Survival of fetuses and offspring was reduced.",Antimicrobials,Antiviral agents,
ribociclib,D,"Antineoplastic agents  can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,,
rifabutin,C,"Bleeding attributable to hypoprothrombinaemia has been reported in newborn infants and in mothers after the use of rifampicin during late pregnancy. If rifabutin is used during the last few weeks of pregnancy, vitamin K should be given to the mother and the newborn infant.",Antimicrobials,Antituberculotics and antileprotics,
rifampicin,C,"Bleeding attributable to hypoprothrombinaemia has been reported in newborn infants and in mothers after the use of rifampicin during late pregnancy. If rifampicin is used during the last few weeks of pregnancy, vitamin K should be given to the mother and the newborn infant.",Antimicrobials,Antituberculotics and antileprotics,
rifaximin,B1,,Antimicrobials,Antibiotics,
rilpivirine,B1,,Antimicrobials,Antiviral agents,
riluzole,B3,,Central Nervous System,,
rimegepant ,B1,,Central Nervous System,,
rimiterol,A,,Cardiovascular System,Adrenergic stimulants,
rimiterol,A, ,Respiratory System,Inhalational agents,Bronchospasm relaxants
riociguat,X,"Teratogenicity is a class effect of these agents, which induce multiple fetal abnormalities in animal studies. These drugs are likely to cause major birth defects if used during pregnancy.",Cardiovascular System,Antihypertensives,
ripretinib,D,"Based on its mechanism of action and findings in animal studies, ripretinib may cause fetal malformations.",Antineoplastic Agents,Tyrosine kinase inhibitors,
risankizumab,B1,,Allergy and Immune System,,
risdiplam,D,"Administration to pregnant animals resulted in decreased fetal body weights, increased incidences of fetal structural variations, embryofetal mortality, fetal malformations (hydrocephaly) and structural variations. The no-effect level for adverse effects on embryofetal development was associated with maternal exposure 3 times that in humans at the maximum recommended human dose. In a pre- and post-natal study in rats treated daily with risdiplam, risdiplam caused a slight delay in gestation length. ",Musculoskeletal System,,
risedronate,B3,,Endocrine System,Agents affecting calcium and bone metabolism,Bisphosphonates
risperidone,C,"Neonates exposed to antipsychotic drugs during the third trimester of pregnancy are at risk of experiencing extrapyramidal neurological disturbances and/or withdrawal symptoms following delivery. There have been reports of agitation, hypertonia, hypotonia, tremor, somnolence, respiratory distress and feeding disorder in these neonates.",Central Nervous System,Antipsychotic drugs,
ritonavir,B3,,Antimicrobials,Antiviral agents,
rituximab,C,Antibodies of this class are known to cross the fetoplacental barrier and may cause B cell depletion and/or other unknown effects.,Allergy and Immune System,Immunomodifiers,
rivaroxaban,C,All anticoagulants and thrombolytic agents can produce placental haemorrhage and subsequent prematurity and fetal loss.,Cardiovascular System,Anticoagulants and thrombolytic agents,
rivastigmine,B2,,Cholinergic and Anticholinergic Agents,,
rizatriptan,B1,,Cardiovascular System,Antimigraine preparations,
rocuronium,B2,,Drugs Used in Anaesthesia,Neuromuscular blocking agents,
rofecoxib,C,"Non-steroidal anti-inflammatory (NSAIDs) agents inhibit prostaglandin synthesis which may adversely affect pregnancy. Refer to the relevant texts in the Product Information of individual NSAID products for information regarding the suitability for use in pregnancy. 

Epidemiological studies suggest an increased risk of spontaneous abortion after use of prostaglandin synthesis inhibitors in early pregnancy.

When given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, oligohydramnios, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth.

Continuous treatment with NSAIDs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),
romidepsin ,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,,
romiplostim,B3,,Blood and Haemopoietic System,Haemopoietic agents,
romosozumab,B3,,Musculoskeletal System,Osteogenic agents,
ropinirole,B3,,Central Nervous System,Antiparkinson agents,
ropivacaine,B1,,Drugs Used in Anaesthesia,Local anaesthetics,
rosiglitazone,B3,,Endocrine System,Hypoglycaemic agents,
rosiglitazone / metformin,C,It is important to achieve strict normoglycaemia during pregnancy.,Endocrine System,Hypoglycaemic agents,
rosuvastatin,D,"The physiological hyperlipidaemia of pregnancy does not require treatment. Cholesterol and other products of the cholesterol biosynthesis pathway are essential components for fetal development, including synthesis of steroids and cell membranes. Because of the ability of inhibitors of HMG-CoA reductase to decrease the synthesis of cholesterol and possibly other products of the cholesterol biosynthesis pathway, these drugs may cause fetal harm when administered to a pregnant woman.",Cardiovascular System,Hypolipidaemic agents,
rosuvastatin / ezetimibe,D,"Cholesterol and other products of the cholesterol biosynthesis pathway are essential components for fetal development, including synthesis of steroids and cell membranes. Because of the ability of inhibitors of HMG-CoA reductase to decrease the synthesis of cholesterol and possibly other products of the cholesterol biosynthesis pathway, these drugs may cause fetal harm when administered to a pregnant woman. The physiological hyperlipidaemia of pregnancy does not require treatment.",Cardiovascular System,Hypolipidaemic agents,
rotavirus vaccine,B2,"Currently available live virus vaccines have not caused teratogenic effects in humans. The ATAGI publication, “The Australian Immunisation Handbook”, should be consulted for more comprehensive information.",Vaccines,Live attenuated vaccines,
rotigotine,B3,,Central Nervous System,Antiparkinson agents,
roxithromycin,B1,,Antimicrobials,Antibiotics,Macrolide antibiotics
rufinamide,B3,,Central Nervous System,Anticonvulsants/antiepileptics,
rurioctocog alfa pegol,B2,,Cardiovascular System,Haemostatic agents,
ruxolitinib phosphate,C,,Antineoplastic Agents,,
sacituzumab govitecan,D,"Based on its mechanism of action, sacituzumab govitecan can cause teratogenicity and/or embryo-fetal lethality when administered to a pregnant person.",Antineoplastic Agents,Monoclonal antibodies,
safinamide (as mesilate),B3,,,,
salbutamol,A,,Cardiovascular System,Adrenergic stimulants,
salbutamol,A,,Genitourinary System,Agents acting on the uterus,
salbutamol,A,,Respiratory System,Inhalational agents,Bronchospasm relaxants
salcatonin (calcitonin salmon),B2,,Endocrine System,Agents affecting calcium and bone metabolism,
salmeterol,B3,,Respiratory System,Inhalational agents,Bronchospasm relaxants
salmeterol,B3,The benefits of asthma control outweigh any potential for an adverse pregnancy outcome.,Respiratory System,Inhalational agents,Preventative aerosols and inhalations
samarium [153Sm],D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,,
saponins,A,,Respiratory System,Expectorants and mucolytics,
sapropterin,B1,,Metabolism,Agents used for the treatment of metabolic disorders,
saquinavir,B1,,Antimicrobials,Antiviral agents,
satralizumab,C,IgG antibodies are known to cross the placental barrier. This drug has the potential to affect embryofetal survival due to its pharmacological action.,Central Nervous System,,
saxagliptin,B3,,Endocrine System,Hypoglycaemic agents,
saxagliptin / metformin,C,It is important to achieve strict normoglycaemia during pregnancy.,Endocrine System,Hypoglycaemic agents,
sebelipase alfa,B1,,Metabolism,Agents used for the treatment of metabolic disorders,
secukinumab (rch),C,IgG antibodies are known to cross the placental barrier. This drug has the potential to affect embryofetal survival due to its pharmacological action.,Allergy and Immune System,Immunomodifiers,
selegiline,B2,,Central Nervous System,Antiparkinson agents,
selexipag,B1,,Cardiovascular System,Antihypertensives,
selinexor,D,"Selinexor may  cause fetal harm when administered to a pregnant woman. In pregnant rats, administration of selinexor during organogenesis resulted in reduced fetal weight, impaired ossification and increased fetal skeletal variations and malformations. Selinexor was embryolethal in rats. ",Antineoplastic Agents,,
selpercatinib,D,"Based on data from animal reproduction studies and its mechanism of action, selpercatinib can cause fetal harm (including post-implantation loss and an increase in external malformations) when administered to a pregnant woman.",Antineoplastic Agents,Tyrosine kinase inhibitors,
selumetinib ,D,"Based on animal data (in pregnant mice given selumetinib during organogenesis caused a reduction in the number of live fetuses due to an increase in post-implantation loss, a reduction in fetal weights and malformations). Selumetinib may  cause fetal harm when administered to a pregnant woman.",Antineoplastic Agents,,
semaglutide,D,This drug is embryotoxic and fetotoxic when administered to pregnant rats and rabbits,Endocrine System,Hypoglycaemic agents,
senna,A,,Alimentary System,Laxatives,
sepiapterin,B1,,Metabolism,Agents used for the treatment of metabolic disorders, 
sertindole,C,"Neonates exposed to antipsychotic drugs during the third trimester of pregnancy are at risk of experiencing extrapyramidal neurological disturbances and/or withdrawal symptoms following delivery. There have been reports of agitation, hypertonia, hypotonia, tremor, somnolence, respiratory distress and feeding disorder in these neonates.",Central Nervous System,Antipsychotic drugs,
sertraline,C,Selective serotonin reuptake inhibitors (SSRIs) have had limited use in pregnancy without a reported increase in birth defects.  The use of SSRIs in the third trimester may result in a withdrawal state in the newborn infant.,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs)
sevelamer,B3,,"Detoxifying Agents, Antidotes ",,
sevoflurane,B2,"All general anaesthetics carry the potential to produce central nervous system and respiratory depression in the newborn infant. In routine practice this does not appear to be a problem. However, in the compromised fetus, careful consideration should be given to this potential depression and to the selection of particular anaesthetic drugs, doses and techniques.",Drugs Used in Anaesthesia,General anaesthetics,
sibutramine,C,Weight reduction using appetite suppressant drugs is not recommended in pregnancy.,Metabolism,Anorectic and weight reducing agents,
sildenafil citrate,B1,,Cardiovascular System,Vasodilators,
silodosin,B3,,Genitourinary System,Prostate hyperplasia,
siltuximab,C,"Drugs which, owing to their pharmacological effects, have caused or may be suspected of causing, harmful effects on the human fetus or neonate without causing malformations. These effects may be reversible. Accompanying texts should be consulted for further details.",Antineoplastic Agents,Monoclonal antibodies,
simeprevir,B3,,Antimicrobials,Antiviral agents,
simeprevir with ribavirin and peginterferon alfa,X,"Although there are no pertinent human data, ribavirin has been found to be teratogenic and/or embryolethal in nearly all species in which it has been tested. Malformations of skull, palate, eye, jaw, skeleton and gastrointestinal tract were noted in animal studies. Survival of fetuses and offspring was reduced.",Antimicrobials,Antiviral agents,
simvastatin,D,"Cholesterol and other products of the cholesterol biosynthesis pathway are essential components for fetal development, including synthesis of steroids and cell membranes. Because of the ability of inhibitors of HMG-CoA reductase to decrease the synthesis of cholesterol and possibly other products of the cholesterol biosynthesis pathway, these drugs may cause fetal harm when administered to a pregnant woman. The physiological hyperlipidaemia of pregnancy does not require treatment.",Cardiovascular System,Hypolipidaemic agents,
siponimod,D,Based on animal data and its mechanism of action siponimodcan cause fetal harm when administered to a pregnant woman. ,Allergy and Immune System,Immunomodifiers,
sirolimus,C,,Allergy and Immune System,Immunomodifiers,
sitagliptin,B3,,Endocrine System,Hypoglycaemic agents,
sitagliptin / metformin,C,It is important to achieve strict normoglycaemia during pregnancy.,Endocrine System,Hypoglycaemic agents,
sitaxentan,X,"Teratogenicity is a class effect of these agents, which induce multiple fetal abnormalities in animal studies. These drugs are likely to cause major birth defects if used during pregnancy.",Cardiovascular System,Endothelin receptor antagonist,
smallpox (Vaccinia) vaccine,D,Live vaccinia virus vaccines can cause fetal harm when administered to a pregnant woman,Vaccines,Live attenuated vaccines,
sodium aurothiomalate,B2,,Musculoskeletal System,Antirheumatoid agents,
sodium cromoglycate,A,,Respiratory System,Inhalational agents,Preventative aerosols and inhalations
sodium fusidate (fusidic acid),C,This drug may cause kernicterus in babies during the first month of life by displacing bilirubin from plasma albumin. Fusidic acid should be avoided if possible during the last month of pregnancy.,Antimicrobials,Antibiotics,
sodium nitroprusside,C,Short term use for the control of hypertensive crises may be safe provided that the pH and cyanide concentrations in maternal blood are monitored.,Cardiovascular System,Antihypertensives,
sodium phenylbutyrate,B3,,Metabolism,Agents used for the treatment of metabolic disorders,
sodium phosphate [32P] ,X,"The use of this drug is absolutely contraindicated in women who are pregnant, or breast-feeding, and in children.",Diagnostic Agents,,
sodium salicylate,C,"Non-steroidal anti-inflammatory (NSAIDs) agents inhibit prostaglandin synthesis which may adversely affect pregnancy. Refer to the relevant texts in the Product Information of individual NSAID products for information regarding the suitability for use in pregnancy. 

Epidemiological studies suggest an increased risk of spontaneous abortion after use of prostaglandin synthesis inhibitors in early pregnancy.

When given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, oligohydramnios, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth.

Continuous treatment with NSAIDs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),
sodium valproate (valproic acid),D,"Sodium valproate is contraindicated in pregnancy. A broad range of congenital malformations can occur in babies born to women who take sodium valproate during pregnancy, and the risk of malformations increases with increasing dose of valproate. If taken in the first trimester of pregnancy, sodium valproate (valproic acid) is associated with a one to two percent risk of neural tube defects (especially spina bifida) in the exposed fetus. Sodium valproate should not be used during pregnancy and in women of child-bearing potential unless alternative treatments are ineffective or not tolerated because of the high risk of malformation and risk of developmental disorders in infants exposed to valproate before birth. Avoid use of valproate in women of child-bearing age for all non-seizure indications. For seizure indications, consider alternatives if they exist. Always use the lowest effective dose. Patients and prescribers should reconsider benefit and risk at regular treatment reviews, at puberty and urgently when a woman of child-bearing potential treated with valproate plans a pregnancy or becomes pregnant.  Folic acid supplementation (5mg) should be commenced four weeks prior to and continue for twelve weeks after conception; specialist prenatal diagnosis including detailed mid-trimester ultrasound should be offered.",Central Nervous System,Anticonvulsants/antiepileptics,
sodium zirconium cyclosilicate ,B1,,Metabolism,,
sofosbuvir,B1,,Antimicrobials,Antiviral agents,
sofosbuvir /  velpatasvir / voxilaprevir,B1,,Antimicrobials,Antiviral agents,
sofosbuvir / velpatasvir,B1,,Antimicrobials,Antiviral agents,
sofosbuvir / velpatasvir with ribavirin,X,"Although there are no pertinent human data, ribavirin has been found to be teratogenic and/or embryolethal in nearly all species in which it has been tested. Malformations of skull, palate, eye, jaw, skeleton and gastrointestinal tract were noted in animal studies. Survival of fetuses and offspring was reduced.",Antimicrobials,Antiviral agents,
sofosbuvir with peginterferon alfa and ribavirin,X,"Although there are no pertinent human data, ribavirin has been found to be teratogenic and/or embryolethal in nearly all species in which it has been tested. Malformations of skull, palate, eye, jaw, skeleton and gastrointestinal tract were noted in animal studies. Survival of fetuses and offspring was reduced.",Antimicrobials,Antiviral agents,
sofosbuvir with ribavirin,X,"Although there are no pertinent human data, ribavirin has been found to be teratogenic and/or embryolethal in nearly all species in which it has been tested. Malformations of skull, palate, eye, jaw, skeleton and gastrointestinal tract were noted in animal studies. Survival of fetuses and offspring was reduced.",Antimicrobials,Antiviral agents,
solifenacin,B3,,Genitourinary System,Prostate hyperplasia,
somapacitan,B1,,Endocrine System,Hormonal agents,
somatrogon,B1,,Endocrine System,Hormonal agents,
somatropin,B2,,Endocrine System,Pituitary hormones,
sorafenib,D,"This drug is embryotoxic in both pregnant rats and rabbits, and teratogenic when administered to pregnant animals. ",Antineoplastic Agents,Tyrosine kinase inhibitors,
sotalol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Cardiovascular System,Beta-adrenergic blocking agents,
sotorasib,B3,,Antineoplastic Agents,,
sotrovimab,B2,,Antimicrobials,Antiviral agents,antiviral monoclonal antibodies
spectinomycin,B1,,Antimicrobials,Antibiotics,
spesolimab,B1,,Drugs Used in Dermatology,Systemic,
spironolactone,B3,This drug carries the potential to cause feminisation of the male fetus and should be avoided during pregnancy.,Cardiovascular System,Diuretics,Potassium sparing diuretics
spironolactone,B3,Antiandrogens carry the potential for feminisation of the male fetus at or after 8 weeks post conception and should be avoided during pregnancy.,Endocrine System,Antiandrogens,
stavudine,B3,,Antimicrobials,Antiviral agents,
stiripentol,B3,,Central Nervous System,,
streptokinase,C,Only minimal amounts of streptokinase cross the placenta. Streptokinase-specific antibodies are found in fetal blood. ,Cardiovascular System,Fibrinolytic agents,
strontium ranelate,B3,,Endocrine System,Agents affecting calcium and bone metabolism,
succinylated gelatin ,B2,,Cardiovascular System,,
sucralfate,B1,,Alimentary System,"Hyperacidity, reflux, ulcers",
sucroferric oxyhydroxide,B3,,Blood and Haemopoietic System,Haemopoietic system,
sugammadex,B2,,Drugs Used in Anaesthesia,Antagonists of neuromuscular blocking agents,
sulesomab,B2,,Diagnostic Agents,Radiographic agents,
sulfacetamide,C,,Ophthalmic Drugs,,
sulfadiazine,C,Sulfonamides may cause jaundice and haemolytic anaemia in the newborn.,Antimicrobials,Antibiotics,Sulfonamides
sulfadoxine,C,Sulfonamides may cause jaundice and haemolytic anaemia in the newborn.,Antimicrobials,Antibiotics,Sulfonamides
sulfamethizole,C,Sulfonamides may cause jaundice and haemolytic anaemia in the newborn.,Antimicrobials,Antibiotics,Sulfonamides
sulfamethoxazole ,C,Sulfonamides may cause jaundice and haemolytic anaemia in the newborn.,Antimicrobials,Antibiotics,Sulfonamides
sulfasalazine,A,,Alimentary System,Antidiarrhoeals,
sulfinpyrazone,B2,,Musculoskeletal System,Agents used in gout and hyperuricaemia,
sulindac,C,"Non-steroidal anti-inflammatory (NSAIDs) agents inhibit prostaglandin synthesis which may adversely affect pregnancy. Refer to the relevant texts in the Product Information of individual NSAID products for information regarding the suitability for use in pregnancy. 

Epidemiological studies suggest an increased risk of spontaneous abortion after use of prostaglandin synthesis inhibitors in early pregnancy.

When given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, oligohydramnios, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth.

Continuous treatment with NSAIDs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),
sulthiame,D,"Compared to conventional anticonvulsants, the extent of the risk of this drug is unknown.",Central Nervous System,Anticonvulsants/antiepileptics,
sumatriptan,B3,,Cardiovascular System,Antimigraine preparations,
sunitinib,D,"This drug is embryotoxic in both pregnant rats and rabbits, and teratogenic when administered to pregnant animals. ",Antineoplastic Agents,Tyrosine kinase inhibitors,
susoctocog alfa,B2,,Cardiovascular System,Haemostatic agents,
suxamethonium,A,,Drugs Used in Anaesthesia,Neuromuscular blocking agents,
tacrine,C,This drug may produce cholinergic effects in the fetus.,Cholinergic and Anticholinergic Agents,,
tacrolimus,C,This drug may cause immunosuppression in the infant. Use of tacrolimus during pregnancy has been associated with neonatal hyperkalaemia and renal dysfunction.,Allergy and Immune System,Immunomodifiers,
tadalafil,B1,,Cardiovascular System,Vasodilators,
tafamidis,D,"Based on findings from animal studies, tafamidis may cause fetal harm and malformations.",Cardiovascular System,,
tafasitamab,C,Tafasitamab may cause fetal B-cell depletion based on its pharmacological properties.,Antineoplastic Agents,Monoclonal antibodies,
tafenoquine,C,Tafenoquine may cause foetal harm when administered to a pregnant woman if the foetus is G6PD-deficient and should not be taken in pregnancy. Tafenoquine is contraindicated in pregnancy because the G6PD status of the foetus is unknown (G6PD = glucose-6-phosphate dehydrogenase).,Antimicrobials,Antimalarials,
tafluprost,B3,,Ophthalmic Drugs,,
talimogene laherparepvec (rmv),C,"Drugs which, owing to their pharmacological effects, have caused or may be suspected of causing, harmful effects on the human fetus or neonate without causing malformations. These effects may be reversible. Accompanying texts should be consulted for further details.",Antineoplastic Agents,,
tamoxifen,B3,"Women should be advised not to become pregnant whilst taking tamoxifen and for nine months following the cessation of therapy and should use barrier or other non-hormonal contraceptive methods if sexually active. Premenopausal patients must be carefully examined before treatment to exclude pregnancy. Women should be informed of the potential risks to the foetus, should they become pregnant whilst taking tamoxifen or within nine months of cessation of therapy.",Antineoplastic Agents,Hormonal antineoplastic agents,
tamsulosin,B2,,Genitourinary System,Prostate hyperplasia,
tapentadol,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics
tasonermin,D,There is a theoretical risk of irreversible damage to the fetus due to possible breakdown of the fetal and/or placental vasculature.,Allergy and Immune System,Immunomodifiers,
tazarotene,D,"As with other retinoids, this drug may cause fetal harm when used during pregnancy. ",Drugs used in Dermatology,Topical,
technetium [99mTc],C,,Diagnostic Agents,,
technetium [99mTc] albumin aggregated ,C,,Diagnostic Agents,,
technetium [99mTc] bicisate,C,,Diagnostic Agents,,
teclistamab,C,"	",Antineoplastic Agents,Monoclonal antibodies,
teduglutide,B1,,Endocrine System,Hypoglycaemic agents,
tegafur,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
tegaserod,B3,,Alimentary System,Prokinetics,
teicoplanin,B3,,Antimicrobials,Antibiotics,
telaprevir,B2,,Antimicrobials,Antiviral agents,
telbivudine,B1,,Antimicrobials,Antiviral agents,
telmisartan,D,"When used in pregnancy during the second and third trimesters, drugs that act directly on the renin-angiotensin system can cause injury and even death in the developing fetus. Although no adverse fetal effects have been linked to first trimester drug use of ARAs, the number of exposures reported is too small to determine conclusively that ARAs are safe in the first trimester. Pregnant women who are taking ARAs should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure. It is generally advisable not to use ARAs for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors
telotristat ethyl (as etiprate),B3,,Alimentary System,Antidiarrhoeals,
temazepam,C,"Benzodiazepines may cause hypotonia, respiratory depression and hypothermia in the newborn infant if used in high doses during labour. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.",Central Nervous System,Benzodiazepines,
temozolomide,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Alkylating agents,
temsirolimus,D,,Antineoplastic Agents,,
tenecteplase,C,,Cardiovascular System,Fibrinolytic agents,
teniposide,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,,
tenofovir,B3,,Antimicrobials,Antiviral agents,
tenofovir disoproxil fumarate / emtricitabine / elvitegravir / cobicistat,B3,,Antimicrobials,Antiviral agents,
tenoxicam,C,"Non-steroidal anti-inflammatory (NSAIDs) agents inhibit prostaglandin synthesis which may adversely affect pregnancy. Refer to the relevant texts in the Product Information of individual NSAID products for information regarding the suitability for use in pregnancy. 

Epidemiological studies suggest an increased risk of spontaneous abortion after use of prostaglandin synthesis inhibitors in early pregnancy.

When given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, oligohydramnios, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth.

Continuous treatment with NSAIDs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),
tepotinib,D,"Studies in animals have shown teratogenicity (including malformations). Based on the mechanism of action and findings in animals, tepotinib can cause fetal harm when administered to pregnant women.",Antineoplastic Agents,,
terazosin,B2,,Cardiovascular System,Antihypertensives,
terazosin,B2,,Genitourinary System,Bladder function disorders,
terbinafine,B1,,Antimicrobials,Antifungal agents (see also topical antifungals),
terbutaline,A,,Cardiovascular System,Adrenergic stimulants,
terbutaline,A,,Respiratory System,Inhalational agents,Bronchospasm relaxants
terfenadine,B2,,Allergy and Immune System,Antihistamines,
teriflunomide,X,"This drug may cause fetal harm in humans. This drug must not be given to pregnant women, or women of childbearing potential who are not using reliable contraception during treatment with this drug and for a certain period of time thereafter. Pregnancy must be excluded before the start of treatment with this drug.",Allergy and Immune System,Immunomodifiers,
teriparatide,B3,,Endocrine System,Agents affecting calcium and bone metabolism,
terlipressin,D,,Cardiovascular System,Haemostatic agents,
testosterone,D,Anabolic steroids and other substances with androgenic effects may have a virilising effect on the female fetus and should be avoided during pregnancy.,Endocrine System,Androgens and anabolic steroids,
tetrabenazine,B3,,Central Nervous System,,
tetracaine,B2,,Ophthalmic Drugs,,
tetracosactide,D,There have been some reports of miscarriage or fetal malformation occurring in pregnant women treated with tetracosactrin.,Diagnostic Agents,Pituitary-adrenal response test,
tetracosactrin (tetracosactide),D,There have been some reports of miscarriage or fetal malformation occurring in pregnant women treated with tetracosactrin.,Diagnostic Agents,Pituitary-adrenal response test,
tetracycline,D,Tetracyclines are safe for use during the first 18 weeks of pregnancy (16 weeks post conception) after which they cause discolouration of the baby’s teeth. ,Antimicrobials,Antibiotics,Tetracyclines
tezacaftor / ivacaftor,B3,,Respiratory System,,
thalidomide,X,Thalidomide has caused severe birth defects when taken during pregnancy. Even a single dose can cause birth defects. Thalidomide should never be used by women who are pregnant or who could become pregnant whilst taking the drug or could become pregnant within four weeks after stopping the drug. ,Allergy and Immune System,Immunomodifiers,
theophylline and derivatives,A,,Respiratory System,Inhalational agents,Bronchospasm relaxants
thiabendazole,B3,,Antimicrobials,Anthelmintics,
thiethylperazine,C,"When given in high doses during late pregnancy, phenothiazines have caused prolonged neurological disturbances in the infant.",Central Nervous System,"Antiemetics, antinauseants",Phenothiazines
thiopentone,A,"All general anaesthetics carry the potential to produce central nervous system and respiratory depression in the newborn infant. In routine practice this does not appear to be a problem. However, in the compromised fetus, careful consideration should be given to this potential depression and to the selection of particular anaesthetic drugs, doses and techniques.",Drugs Used in Anaesthesia,General anaesthetics,
